FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,resultfile
#,http://45.33.32.156:80/#,,10,200,7581,512,177,text/html,
#,http://45.33.32.156:80/#,,2,200,7581,512,177,text/html,
# Copyright 2007 James Fisher,http://45.33.32.156:80/# Copyright 2007 James Fisher,,3,200,7581,512,177,text/html,
# This work is licensed under the Creative Commons,http://45.33.32.156:80/# This work is licensed under the Creative Commons,,5,200,7581,512,177,text/html,
#,http://45.33.32.156:80/#,,4,200,7581,512,177,text/html,
# directory-list-2.3-small.txt,http://45.33.32.156:80/# directory-list-2.3-small.txt,,1,200,7581,512,177,text/html,
# Attribution-Share Alike 3.0 License. To view a copy of this,http://45.33.32.156:80/# Attribution-Share Alike 3.0 License. To view a copy of this,,6,200,7581,512,177,text/html,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/","http://45.33.32.156:80/# license, visit http://creativecommons.org/licenses/by-sa/3.0/",,7,200,7581,512,177,text/html,
"# or send a letter to Creative Commons, 171 Second Street,","http://45.33.32.156:80/# or send a letter to Creative Commons, 171 Second Street,",,8,200,7581,512,177,text/html,
"# Suite 300, San Francisco, California, 94105, USA.","http://45.33.32.156:80/# Suite 300, San Francisco, California, 94105, USA.",,9,200,7581,512,177,text/html,
"# Priority ordered case sensative list, where entries were found","http://45.33.32.156:80/# Priority ordered case sensative list, where entries were found",,11,200,7581,512,177,text/html,
# on atleast 3 different hosts,http://45.33.32.156:80/# on atleast 3 different hosts,,12,200,7581,512,177,text/html,
#,http://45.33.32.156:80/#,,13,200,7581,512,177,text/html,
index,http://45.33.32.156:80/index,,15,200,7581,512,177,text/html,
,http://45.33.32.156:80/,,14,200,7581,512,177,text/html,
,http://45.33.32.156:80/,,45647,200,7581,512,177,text/html,
